Integer Label,Text Label,Anatomic Region,Anatomic Region Modifier,Primary Anatomic Structure,Primary Anatomic Structure Modifier,Segmented Property Category -- CID 7150++,Segmented Property Type,DICOM Context Group for Anatomic Region or Segmented Property Type,Segmented Property Type Modifier,Color,Notes,
145,        right temporal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11130,SRT,""Temporal bone"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(255,243,152)  ",        ,
146,        left temporal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11130,SRT,""Temporal bone"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(255,243,152)  ",        ,
147,        right sphenoid bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11150,SRT,""Sphenoid bone"") ",4028++,"        (G-A100,SRT,""Right"") "," rgb(209,185,85)  ",        ,
148,        left sphenoid bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11150,SRT,""Sphenoid bone"") ",4028++,"        (G-A101,SRT,""Left"") "," rgb(209,185,85)  ",        ,
149,        right ethmoid bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11156,SRT,""Ethmoid bone"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(248,223,131)  ",        ,
150,        left ethmoid bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11156,SRT,""Ethmoid bone"")",4028++,"        (G-A101,SRT,""Left"") "," rgb(248,223,131)  ",        ,
151,        occipital bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11140,SRT,""Occipital bone"")",4028++, ," rgb(255,230,138)  ",        ,
152,        maxilla  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11170,SRT,""Maxilla"")",4028, ," rgb(196,172,68)  ",        ,
153,        right zygomatic bone  ,"(T-11167,SRT,""Zygomatic arch"")","        (G-A100,SRT,""Right"") ",        , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-11166,SRT,""Zygoma"")",4028++,"        (G-A100,SRT,""Right"") "," rgb(255,255,167)  ","? use more general (T-111BE,SRT,""Zygoma""), also, where is the left one ?? ",     
154,        right lacrimal bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-1115A,SRT,""Lacrimal bone"")        ",4028++,"        (G-A100,SRT,""Right"") "," rgb(255,250,160)  ",where is the left one ?? ,
155,        vomer bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-21342,SRT,""Vomer bone"")",4028++, ," rgb(255,237,145)  ",        ,
156,        right palatine bone  ,"        (T-111A8,SRT,""Palatine Bone"") ","        (G-A100,SRT,""Right"") ",        , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11160,SRT,""Palatine bone"")         ",4028++,"        (G-A100,SRT,""Right"") "," rgb(242,217,123)  ",        ,
157,        left palatine bone  ,"        (T-111A8,SRT,""Palatine Bone"") ","        (G-A101,SRT,""Left"") ",        , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11160,SRT,""Palatine bone"")         ",4028++,"        (G-A101,SRT,""Left"") "," rgb(242,217,123)  ",        ,
158,        mandible  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11180,SRT,""Mandible"")",4028, ," rgb(222,198,101)  ",        ,
159,        neck  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D1600,SRT,""Neck"")",4028, ," rgb(177,122,101)  ",        ,
160,        muscles of neck  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-13300,SRT,""Muscle of neck"")       ",4028++, ," rgb(213,124,109)  ",        ,
161,        pharynx  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-55000,SRT,""Pharynx"")",4040, ," rgb(184,105,108)  ",        ,
162,        larynx  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-24100,SRT,""Larynx"")",4040 edited, ," rgb(150,208,243)  ",        ,
163,        thyroid gland  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-B6000,SRT,""Thyroid"")",4030 edited, ," rgb(62,162,114)  ",        ,
164,        right parathyroid glands  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-B7000,SRT,""Parathyroid"")",4030 edited,"        (G-A100,SRT,""Right"") "," rgb(62,162,114)  ",        ,
165,        left parathyroid glands  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-B7000,SRT,""Parathyroid"")",4030 edited,"        (G-A101,SRT,""Left"") "," rgb(62,162,114)  ",        ,
166,        skeleton of neck  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D006D,SRT,""Bone structure of head and/or neck"")",4028++, ," rgb(242,206,142)  ",        ,
167,        hyoid bone  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-11190,SRT,""Hyoid bone"")",4028++, ," rgb(250,210,139)  ",        ,
168,        cervical vertebral column  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-11501,SRT,""Cervical spine"")       ",4028++, ," rgb(255,255,207)  ",        ,
169,        thorax  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D3000,SRT,""Thorax"")",7155++, ," rgb(177,122,101)  ",        ,
170,        trachea  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-25000,SRT,""Trachea"")",7155++, ," rgb(182,228,255)  ",        ,
171,        bronchi  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-26000,SRT,""Bronchus"")",7155,        ," rgb(175,216,244)  ",        ,
172,        right lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28000,SRT,""Lung"")",7155,"        (G-A100,SRT,""Right"") ","        rgb(197,165,145)  ",        ,
173,        left lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28000,SRT,""Lung"")",7155,"        (G-A101,SRT,""Left"") ","        rgb(197,165,145)  ",        ,
174,        superior lobe of right lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28820,SRT,""Upper lobe of lung"")",7155++,"        (G-A100,SRT,""Right"") "," rgb(172,138,115)  ",        ,
175,        superior lobe of left lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28820,SRT,""Upper lobe of lung"")",7155++,"        (G-A101,SRT,""Left"") "," rgb(172,138,115)  ",        ,
176,        middle lobe of right lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28300,SRT,""Middle lobe of right lung"")",7155++, ," rgb(202,164,140)  ",        ,
177,        inferior lobe of right lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28830,SRT,""Lower lobe of lung"")",7155++,"        (G-A100,SRT,""Right"") "," rgb(224,186,162)  ",        ,
178,        inferior lobe of left lung  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-28830,SRT,""Lower lobe of lung"")",7155++,"        (G-A101,SRT,""Left"") "," rgb(224,186,162)  ",        ,
179,        pleura  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-29000,SRT,""Pleura"")",7155++, ," rgb(255,245,217)  ",        ,
180,        heart  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-32000,SRT,""Heart"")",7152,        ," rgb(206,110,84)  ",        ,
181,        right atrium  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-32100,SRT,""Atrium"")",6113, ," rgb(210,115,89)  ",        ,
182,        left atrium  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-32100,SRT,""Atrium"")",6113, ," rgb(203,108,81)  ",        ,
183,        atrial septum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-32150,SRT,""Interatrial septum"")",6116++, ," rgb(233,138,112)  ",        ,
184,        ventricular septum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-32410,SRT,""Interventricular septum"")",6116, ," rgb(195,100,73)  ",        ,
185,        right ventricle of heart  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-32500,SRT,""Right ventricle"")",7152,        ," rgb(181,85,57)  ","        SRT code is precordinated, no need for laterality modifier ",     
186,        left ventricle of heart  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-32600,SRT,""Left ventricle"")",7152,        ," rgb(152,55,13)  ","        SRT code is precordinated, no need for laterality modifier ",     
187,        mitral valve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-35300,SRT,""Mitral valve"") ",6113, ," rgb(159,63,27)  ",        ,
188,        tricuspid valve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-35100,SRT,""Tricuspid valve"")",6113, ," rgb(166,70,38)  ",        ,
189,        aortic valve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-35400,SRT,""Aortic valve"")",6113, ," rgb(218,123,97)  ",        ,
190,        pulmonary valve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-35200,SRT,""Pulmonary valve"")",6113, ," rgb(225,130,104)  ",        ,
191,        aorta  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-42000,SRT,""Aorta"")",7152,        ," rgb(224,97,76)  ","        ? need specific parts (ascending, arch, descending thoracic, abdominal) ",
192,        pericardium  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-39000,SRT,""Pericardium"")",7152++, ," rgb(255,244,209)  ",        ,
193,        pericardial cavity  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-39050,SRT,""Pericardial cavity"")",7152++, ," rgb(184,122,154)  ",        ,
194,        esophagus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-56000,SRT,""Esophagus"")",7155++, ," rgb(211,171,143)  ",        ,
195,        thymus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-C8000,SRT,""Thymus"")",7155++, ," rgb(47,150,103)  ",        ,
196,        mediastinum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D3300,SRT,""Mediastinum"")",7155++, ," rgb(255,244,209)  ",        ,
197,        skin of thoracic wall  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-02424,SRT,""Skin of chest"")",7155++, ," rgb(173,121,88)  ",        ,
198,        muscles of thoracic wall  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-14122,SRT,""Chest wall muscle"")",7155++, ," rgb(188,95,76)  ",        ,
199,        skeleton of thorax  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D0170,SRT,""Bone of thorax"")",7155++, ," rgb(255,239,172)  ",        ,
200,        thoracic vertebral column  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-11502,SRT,""Thoracic spine"")",7155++, ," rgb(226,202,134)  ",        ,
201,        ribs  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-11300,SRT,""Rib"")",7155++, ," rgb(253,232,158)  ",        ,
202,        sternum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-11210,SRT,""Sternum"")",7155++, ," rgb(244,217,154)  ",        ,
203,        right clavicle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-12310,SRT,""Clavicle"")",7155++," (G-A100,SRT,""Right"") ","        rgb(205,179,108)  ",        ,
204,        left clavicle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-12310,SRT,""Clavicle"")",7155++,"        (G-A101,SRT,""Left"") ","        rgb(205,179,108)  ",        ,
205,abdominal cavity,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D4010,SRT,""Abdominal cavity"")",7154++, ," rgb(186,124,161)  ",        ,
206,        abdomen  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D4000,SRT,""Abdomen"")",7154++, ," rgb(177,122,101)  ",        ,
207,        peritoneum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D4400,SRT,""Peritoneum"")",7154++, ," rgb(255,255,220)  ",        ,
208,        omentum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D4600,SRT,""Omentum"")",7154++, ," rgb(234,234,194)  ",        ,
209,        peritoneal cavity  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D4425,SRT,""Peritoneal cavity"")",7154++, ," rgb(204,142,178)  ",        ,
210,      retroperitoneal space,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D4900,SRT,""Retroperitoneal space"")",7154++, ," rgb(180,119,153)  ",        ,
211,        stomach  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-57000,SRT,""Stomach"")",4031, ," rgb(216,132,105)  ",        ,
212,        duodenum  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-58200,SRT,""Duodenum"")",4031, ," rgb(255,253,229)  ",        ,
213,        small bowel  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-58000,SRT,""Small intestine)",7154++, ," rgb(205,167,142)  ",        ,
214,        colon  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-59300,SRT,""Colon"")",4031, ," rgb(204,168,143)  ",        ,
215,        anus  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-59900,SRT,""Anus"")",4031++, ," rgb(255,224,199)  ",        ,
216,        liver  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-62000,SRT,""Liver"")",7154,        ," rgb(221,130,101)  ",        ,
217,        biliary tree  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-60610,SRT,""Bile Duct"")",7154++, ," rgb(0,145,30)  ",        ,
218,        gallbladder  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-63000,SRT,""Gallbladder"")",4031, ," rgb(139,150,98)  ",        ,
219,        pancreas  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-65000,SRT,""Pancreas"")",4030, ," rgb(249,180,111)  ",        ,
220,        spleen  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-C3000,SRT,""Spleen)",7154,        ," rgb(157,108,162)  ",        ,
221,        urinary system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-70001,SRT,""Urinary system"")",7154++, ," rgb(203,136,116)  ",        ,
222,        right kidney  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-71000,SRT,""Kidney"")",7154,"        (G-A100,SRT,""Right"") ","        rgb(185,102,83)  ",        ,
223,        left kidney  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-71000,SRT,""Kidney"")",7154,"        (G-A101,SRT,""Left"") ","        rgb(185,102,83)  ",        ,
224,        right ureter  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-73000,SRT,""Ureter"")",4031, ," rgb(247,182,164)  ",        ,
225,        left ureter  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-73000,SRT,""Ureter"")",4031, ," rgb(247,182,164)  ",        ,
226,        urinary bladder  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-74000,SRT,""Bladder"")",7160,        ," rgb(222,154,132)  ",        ,
227,        urethra  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-75000,SRT,""Urethra"")",4031, ," rgb(124,186,223)  ",        ,
228,        right adrenal gland  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-B3000,SRT,""Adrenal gland"")",7154,"        (G-A100,SRT,""Right"") ","        rgb(249,186,150)  ",        ,
229,        left adrenal gland  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-B3000,SRT,""Adrenal gland"")",7154,"        (G-A101,SRT,""Left"") ","        rgb(249,186,150)  ",        ,
230,        female internal genitalia  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-80020,SRT,""Female internal genitalia"")      ",7160++, ," rgb(244,170,147)  ",        ,
231,        uterus  , , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-83000,SRT,""Uterus"")",7160,        ," rgb(255,181,158)  ",        ,
232,        right fallopian tube  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-88000,SRT,""Fallopian tube"")",7160++, ," rgb(255,190,165)  ",        ,
233,        left fallopian tube  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-88000,SRT,""Fallopian tube"")",7160++, ," rgb(227,153,130)  ",        ,
234,        right ovary  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-87000,SRT,""Ovary"")",7160,"        (G-A100,SRT,""Right"") ","        rgb(213,141,113)  ",        ,
235,        left ovary  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-87000,SRT,""Ovary"")",7160,"        (G-A101,SRT,""Left"") ","        rgb(213,141,113)  ",        ,
236,        vagina  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-82000,SRT,""Vagina"")",7160++, ," rgb(193,123,103)  ",        ,
237,        male internal genitalia  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-90020,SRT,""Male internal genitalia"")",7160++, ," rgb(216,146,127)  ",        ,
238,        prostate  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-92000,SRT,""Prostate"")",7160, ," rgb(230,158,140)  ",        ,
239,        right seminal vesicle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"")       ","(T-93000,SRT,""Seminal vesicle"")",7160," (G-A100,SRT,""Right"") ","        rgb(245,172,147)  ",        ,
240,        left seminal vesicle  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-93000,SRT,""Seminal vesicle"")",7160,"        (G-A101,SRT,""Left"") ","        rgb(245,172,147)  ",        ,
241,        right deferent duct  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-96000,SRT,""Vas deferens"")",7160++," (G-A100,SRT,""Right"") "," rgb(241,172,151)  ",        ,
242,        left deferent duct  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-96000,SRT,""Vas deferens"")",7160++,"        (G-A101,SRT,""Left"") "," rgb(241,172,151)  ",        ,
243,        skin of abdominal wall  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-02480,SRT,""Skin of abdomen"")",7154++, ," rgb(177,124,92)  ",        ,
244,        muscles of abdominal wall  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-14001,SRT,""Abdominal wall muscle"")",7154++, ," rgb(171,85,68)  ",        ,
245,        skeleton of abdomen  ,        , , , , , ,7154++, ," rgb(217,198,131)  ",        ,
246,        lumbar vertebral column  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-11503,SRT,""Lumbar spine"")",4031 edited, ," rgb(212,188,102)  ",        ,
247,        female external genitalia  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-80010,SRT,""Female external genitalia"")",7160++, ," rgb(185,135,134)  ",        ,
248,        male external genitalia  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-90010,SRT,""Male external genitalia"")",7160++, ," rgb(185,135,134)  ",        ,
249,        skeleton of upper limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D0821,SRT,""Bone of upper limb"")",4031, ," rgb(198,175,125)  ",        ,
250,        muscles of upper limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-13600,SRT,""Muscle of upper limb"")",4031, ," rgb(194,98,79)  ",        ,
251,        right upper limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8000,SRT,""Upper limb"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
252,        left upper limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8000,SRT,""Upper limb"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
253,        right shoulder  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D2220,SRT,""Shoulder"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ","Code is region, not joint",
254,        left shoulder  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D2220,SRT,""Shoulder"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ","Code is region, not joint",
255,        right arm  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8200,SRT,""Upper arm"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
256,        left arm  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8200,SRT,""Upper arm"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
257,        right elbow  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D0678,SRT,""Elbow"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ","Code is region, not joint",
258,        left elbow  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D0678,SRT,""Elbow"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ","Code is region, not joint",
259,        right forearm  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8500,SRT,""Forearm"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
260,        left forearm  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8500,SRT,""Forearm"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
261,        right wrist  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8600,SRT,""Wrist"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ","Code is region, not joint",
262,        left wrist  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8600,SRT,""Wrist"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ","Code is region, not joint",
263,        right hand  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8700,SRT,""Hand"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
264,        left hand  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D8700,SRT,""Hand"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
265,        skeleton of lower limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-12700,SRT,""Bone of lower limb"")",4031, ," rgb(255,238,170)  ",        ,
266,        muscles of lower limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-14668,SRT,""Muscle of lower limb"")",4031, ," rgb(206,111,93)  ",        ,
267,        right lower limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D9000,SRT,""Lower limb"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
268,        left lower limb  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D9000,SRT,""Lower limb"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
269,        right hip  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D2500,SRT,""Hip"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ","Code is region, not joint",
270,        left hip  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D2500,SRT,""Hip"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ","Code is region, not joint",
271,        right thigh  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D9100,SRT,""Thigh"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
272,        left thigh  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D9100,SRT,""Thigh"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
273,        right knee  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D9200,SRT,""Knee"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ","Code is region, not joint",
274,        left knee  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") "," (T-D9200,SRT,""Knee"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ","Code is region, not joint",
275,        right leg  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D9400,SRT,""Lower leg"")",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
276,        left leg  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D9400,SRT,""Lower leg"")",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
277,        right foot  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D9700,SRT,""Foot"")       ",4031,"        (G-A100,SRT,""Right"") "," rgb(177,122,101)  ",        ,
278,        left foot  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-D9700,SRT,""Foot"")       ",4031,"        (G-A101,SRT,""Left"") "," rgb(177,122,101)  ",        ,
279,        peripheral nervous system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0140,SRT,""Peripheral nervous system"")",716z, ," rgb(216,186,0)  ",        ,
280,        autonomic nerve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A9605,SRT,""Autonomic nerve"")",716z, ," rgb(255,226,77)  ",        ,
281,        sympathetic trunk  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A9630,SRT,""Sympathetic trunk"")",716z, ," rgb(255,243,106)  ",        ,
282,        cranial nerves  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A8000,SRT,""Cranial nerve"")",716z, ," rgb(255,234,92)  ",        ,
283,        vagus nerve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A8640,SRT,""Vagus nerve"")",716z, ," rgb(240,210,35)  ",        ,
284,        peripheral nerve  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-A0500,SRT,""Peripheral nerve"")",716z, ," rgb(224,194,0)  ",        ,
285,        circulatory system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-30000,SRT,""Cardiovascular system"")",7156++, ," rgb(213,99,79)  ",        ,
286,        systemic arterial system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-4105E,SRT,""Systemic artery"")",7156++, ," rgb(217,102,81)  ",        ,
287,        systemic venous system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-48081,SRT,""Systemic vein"")",7156++, ," rgb(0,147,202)  ",        ,
288,        pulmonary arterial system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-44000,SRT,""Pulmonary artery"")",6117, ," rgb(0,122,171)  ",        ,
289,        pulmonary venous system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-48581,SRT,""Pulmonary vein"")",6117, ," rgb(186,77,64)  ",        ,
290,        lymphatic system  ,        , , , ," (T-D000A,SRT,""Anatomical Structure"") ","(T-C6000,SRT,""Lymphatic system"")",716y, ," rgb(111,197,131)  ",        ,
291,        needle  ,        , , , ," (A-00004,SRT,""Physical Object"") ","        (A-30360,SRT,""Needle"")",7157++,        ," rgb(240,255,30)  ",        ,
292,        region 0  ,        , , , , , ,, ," rgb(185,232,61)  ",        ,
293,        region 1  ,        , , , , , ,, ," rgb(0,226,255)  ",        ,
294,        region 2  ,        , , , , , ,, ," rgb(251,159,255)  ",        ,
295,        region 3  ,        , , , , , ,, ," rgb(230,169,29)  ",        ,
296,        region 4  ,        , , , , , ,, ," rgb(0,194,113)  ",        ,
297,        region 5  ,        , , , , , ,, ," rgb(104,160,249)  ",        ,
298,        region 6  ,        , , , , , ,, ," rgb(221,108,158)  ",        ,
